Id,Sentence,True_Answer,Model_Pred,Raw_Output
q2cDTN,"The dog approaches the faucet, turning its head toward the water spray, as yellow liquid is poured into a clear container and a filled glass with a lemon slice is placed beside it.","[4, 2, 1, 3]","[3, 4, 1, 2]","[3, 4, 1, 2]"
tJkie6,"Spectators at a rodeo transition to a close-up of ""Triple Threat Feed"" text, while a person holding a kettlebell rises from a kneeling to a standing position with controlled balance.","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
rwA3QD,"The text transitions from ""Beginners Makeup using 1 Eyeshadow!"" to ""www.bargainhunterbyrne.com,"" then a snowboarder ascends and rotates mid-air as the camera tilts upward.","[2, 3, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Whkm0k,"The athlete exits the shot put circle as another prepares to throw, then the scene transitions to a goalie in yellow moving from a green turf field to an indoor rink, maintaining a ready position.","[2, 4, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
MuH6b3,"The girl transitions from a kitchen to a leaf-covered yard, changing into a pink jacket, then raises her arms while speaking outside, eventually lowering her right arm as she continues her gesture.","[2, 3, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
s7Mslr,"A person places a book on the table as two people begin mixing ingredients in a bowl; then, a mixer is used, and cookie dough is placed onto a baking sheet, with the bowl shifting left.","[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
DDhuRc,The spray bottle moves left as the iron approaches the fabric from the right; then the roller recedes as the view expands to show a person smoothing the ceiling with a tool.,"[3, 2, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
YX2UwJ,"The roller moves away as the camera zooms out to reveal a person smoothing the ceiling, then transitions to two men painting, followed by a close-up of a roller applying textured wallpaper.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
kfQC3J,"The person moves away from the vice to the right as the camera pans slightly, then the yellow tool lowers onto the ski and rotates slightly upon contact.","[1, 3, 4, 2]","[3, 4, 1, 2]","[3, 4, 1, 2]"
SSUeI4,"A hand manipulates the hub before tightening it with a wrench; then, the focus shifts to a hand adjusting the bike's cassette, followed by the bike being positioned on a stand as the camera zooms out.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
g1RrAB,"The stylist moves behind the client, revealing both smiling at the camera as it zooms out; the woman shifts from leaning over the table to standing upright, holding two rolls and a decorative item, with a slight camera zoom out.","[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
G4eptB,"The chef moves a bowl left as hands approach the cutting board, then spices transition to a colorful salad on the plate as hands move away.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
5ZSVIt,"A hand with decorated nails emerges from the swirling polish, revealing a clean cup, as the scene shifts to a child stirring sugar with a spoon, then zooming out to show them smiling and waving.","[1, 4, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
zGJOql,"The camera zooms in as the person sharpens wood with a tool, then transitions to a man sanding ski edges with a block before cutting to a black screen displaying ""fischersports.com.""","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
FZjJOc,"The girl lowers her hand from her glasses as a gloved hand approaches her ear, then she raises a container and applies its contents to her nails, focusing intently.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
kNuWgJ,"The skier poses in the snow, then exits as the camera tilts down to a snowy forest; next, they navigate from a narrow wooded trail to an open slope, with other skiers appearing in the distance.","[1, 3, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
nYxJjH,"The athlete bends over and exits as the camera shifts to seated competitors, then focuses intently on the shot put before moving away and celebrating on the track.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
9MbU9l,"The chocolate chips and syrup exit as the food processor with paste enters, then the mixture thickens and smoothens in the bowl, rotating clockwise with a faster-moving whisk.","[3, 2, 4, 1]","[3, 2, 1, 4]","[3, 2, 1, 4]"
6oGIJG,"The player transitions from celebrating to practicing drills with a teammate, while two curlers sweep a stone that exits the frame, followed by a close-up of a hand giving a thumbs-up.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
oopcVx,"The child skis down the slope, adopting a wider stance as the camera zooms out slightly, then the skier moves through the trail, gaining speed with the camera zooming in slightly, approaching a flatter section with more trees on the right.","[2, 3, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
1RtKJe,"The cursor shifts slightly left on the Sole E95 Elliptical Trainer page, maintaining the $1,699.99 price, then a bike moves from an upside-down position to upright as a person attaches and adjusts the battery.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
kainxd,"The ski cleaning tool moves left as the person shifts slightly, then the man in the black shirt leans forward, lowering the bow and smiling.","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
aMBEeX,"Foam-covered hands are replaced by a towel moving towards the face, followed by hair transitioning from being held at the back to a completed braid over the shoulder as the camera slightly pans left.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
uyvfjO,"A child runs left across a sandy field as background scenery appears, followed by a dog leaping towards a crouching person with a frisbee, moving from right to left indoors.","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
NLFyVM,"The person shifts from using a jack to removing a tire, then the scene transitions to a man wiping the car's roof and cleaning the hood, as the camera pans from side to front.","[4, 2, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
fYXUH3,"The dancers move into a tight embrace, transitioning to a connected pose, then shift into a dynamic position, moving slightly right as the camera pans left.","[1, 2, 3, 4]","[2, 4, 1, 3]","[3, 1, 4, 2]"
wlT64l,"The snowboarder glides toward the snowmobile pulling a sled as the camera tilts down, then a skier moves down the slope, navigating through trees, and shifts slightly right as the trail flattens.","[3, 4, 1, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
8oen7b,"The snowboarder descends the slope and transitions to a close-up of a person gesturing, then exits left as the camera pans right, revealing a group of skiers on the snow.","[3, 2, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
OKdGUL,"A person stands up confidently on a makeshift board, raising the tow handle as the camera zooms in, then a wakeboarder glides and is joined by another rider, with the camera zooming out to capture both side by side.","[1, 2, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
87ush6,"The performer leans in to speak into the microphone with the boy holding a flute, then the scene shifts to a person lowering their hand and focusing on applying makeup with a pen.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
N5eMP1,"The kayaker moves forward through turbulent water, approaching another kayaker on the right, while the yellow raft exits, and the group gathers closely, smiling and stationary.","[3, 1, 4, 2]","[3, 4, 1, 2]","[3, 4, 1, 2]"
o2AxsT,"The hula hoop descends as the camera zooms in on the woman's legs, then a person swings from a rock, receding downward into a distant view over the river.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
yksWiO,"A hand tightens a bolt on the bike wheel, then a rider sits on the bike as the camera zooms out; subsequently, a person points to the tire's markings, and the camera shifts to a new tube being held up.","[2, 1, 3, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
InbfpO,"The wrapping paper moves from flat on the table to upright and partially folded around the gift, then the box shifts left as the camera zooms out, revealing a Christmas tree to the right.","[4, 1, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
fEmP3D,"The skier descends rapidly past trees as the camera tilts down, then glides onto a wider, snowy trail and continues forward, with the camera tilting slightly upward, revealing a tree-lined path.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
g9UoFl,"The baby moves closer and begins to eat as the camera zooms in slightly, then a girl animatedly shows a purple item and moves her head as the item shifts left and downward with a slight camera zoom out.","[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
