Id,Sentence,Answer,Avg_MSE,Type
vcj2v4,"The scene shifts from a logo to a close-up of bowling pins being set up, then transitions to an overhead view of a pool player aiming, followed by him standing and gesturing beside the table.","[2, 4, 3, 1]",6336.588,Scene Cut
aXzaFk,"The group energetically paddles the raft forward as the camera zooms out, revealing more of the landscape, then shifts to a side view as the raft moves downstream and the camera pans right, showing them navigating the river.","[1, 2, 3, 4]",7562.014,Scene Cut
d0kdfH,"The man kneels by the fire pit, holding up a lighter as the camera zooms in, then examines an object closely, slicing it with a knife while the camera zooms out slightly.","[1, 2, 4, 3]",6756.029,Scene Cut
Fld1NP,"The tool moves snow from the car's roof to the windshield as the camera pans right, then the oven door closes, shifting focus to a table where a hand wipes a plate.","[3, 1, 2, 4]",16081.594,Scene Cut
wR3JYC,"The dancer twirls facing the camera, then walks left, receding; meanwhile, the figure shifts weight left, transitioning from arms extended to hands together in a lowered stance.","[3, 2, 1, 4]",3082.2341,Scene Cut
uVFBKD,"A ball enters the pool as more people join, creating a lively scene, then the focus shifts to a gym where the view fades to black with the text ""Transition and Major Releases.""","[1, 3, 2, 4]",6775.5415,Scene Cut
8HH8J7,"Divers surface near a rocky shore, transitioning to a message prompting video views, while a performer runs across the stage, lowering to the floor and extending her arm gracefully.","[2, 1, 3, 4]",27598.594,Scene Cut
w16uw7,"The skier glides forward and right on a flatter trail, with the camera tilting down, while the snowboarder pulls the sled forward and slightly left, creating a clearer trail in the snow.","[4, 2, 1, 3]",5179.5815,Scene Cut
Y6lsMz,"A batter transfer device hovers over a bowl before a cake is sliced on a stand, then a person manipulates an object on a plate, which ignites, producing an upward flame.","[3, 2, 1, 4]",6032.805,Scene Cut
bb9VRa,"The performer twirls to the right as the conductor raises their arms, leading the band; then the drummers gather in a circle, with the camera panning slightly left to capture their enthusiastic performance.","[1, 4, 3, 2]",8315.47,Scene Cut
mrheiz,"The bowl tilts above the cake pan, then the pot exits as hands with scissors cut green onions on a board.","[2, 4, 1, 3]",7057.4673,Scene Cut
aXU0Cc,"The person removes the bike tire and holds a patch and tool, then adjusts the brake cable tension with a tool.","[2, 4, 1, 3]",17400.594,Scene Cut
oHe3IX,"The person opens the pasta package and stirs the pot with a smile, then the woman at the counter reaches for a white bowl as the camera pans slightly left.","[4, 1, 3, 2]",5322.064,Scene Cut
KEYMbe,"The skater moves down the street, approaching a car as the camera zooms in slightly, then exits the scene, revealing a distant view of a pier as the camera zooms out.","[2, 1, 3, 4]",9249.8955,Scene Cut
jgivtP,"The woman brushes the horse's side before grooming its mane as the camera zooms in, while the rider on the brown horse moves away from the camera toward the arena's far side.","[2, 1, 4, 3]",7600.2397,Scene Cut
VymSlN,"A person positions a tire onto a pink tire changer, then tightens a bike's handlebars and lowers themselves to inspect its components, while the bike remains stationary.","[1, 2, 3, 4]",3371.069,Scene Cut
VoBdjF,"The scene transitions from a close-up of a nail art design featuring a spider web on an orange base to a woman turning to face the camera, revealing her styled curls in a home setting.","[3, 1, 4, 2]",14324.013,Scene Cut
OzTbHT,"The polished brown shoes are showcased prominently as the camera zooms in, then zooms out to reveal hands positioning a tile on the floor.","[3, 2, 1, 4]",11827.897,Scene Cut
BeU3Ae,"The camera zooms out from the tire on the ground to reveal a woman inspecting it, then shifts to a person using a jack to lift the car and removing the tire, moving from left to right.","[2, 3, 1, 4]",11241.183,Scene Cut
TZSGD9,"Leaves swirl and settle, forming a thick layer on the ground as the camera zooms out; then, a leaf blower pushes them into a pile, and the camera pans right, revealing a cleared area with scattered leaves.","[2, 3, 1, 4]",5097.311,Scene Cut
N3n109,"A skier exits the frame as two skiers enter from the left on the snowy slope, then a surfer leaves the frame while two individuals on a jet ski move in from the right across the water.","[3, 4, 1, 2]",4361.1665,Scene Cut
TBCnTy,"The skier descends leftward over a bumpy slope, while the snowboarder exits as the ""Shred Bots"" logo appears and centers in the frame.","[4, 2, 1, 3]",16388.764,Scene Cut
ylU8n7,"A woman’s hair is styled with bobby pins on a white surface, transitioning to colorful shapes disappearing as a man plays drums.","[1, 3, 4, 2]",20421.01,Scene Cut
ffiDf1,"The tire is moved from an overhead position to beside the wheel, then lowered onto the rim where it rests as a worker's arm appears to adjust it.","[3, 4, 1, 2]",1478.6602,Scene Cut
FcHXhA,"The pasta moves from a cooking pot to a plate with seafood as the camera tilts upward, then a papaya slice descends into a bowl where hands enter to mix the ingredients.","[4, 1, 2, 3]",7037.771,Scene Cut
yBhSAf,"The cutting arm lowers and adjusts to trim grass near the roadside barrier, then the view shifts to a roof where a person applies black coating to repair the damaged surface.","[4, 2, 3, 1]",6266.2773,Scene Cut
A3zcqS,"The performer lowers to the floor as the camera pans right, then raises her arms, spins, and jumps upward to the right while holding a baton.","[1, 2, 3, 4]",17761.934,Scene Cut
RRXZKu,"The cat moves from standing beside the person to being held in their lap, facing upward, while the dog shifts from facing left to forward as the camera zooms out slightly.","[4, 3, 2, 1]",6246.845,Scene Cut
YxblMm,"An orange peel leaves the frame as a logo appears against a white background, followed by a performer running across the stage with the camera zooming out slightly.","[3, 1, 4, 2]",27698.22,Scene Cut
D9wfan,"The windsurfer tilts right, nearing a person in the water as the sail rotates, then a paddler moves closer, raising the paddle as the background shifts from a skyline to trees and buildings.","[1, 4, 3, 2]",4028.0125,Scene Cut
unqUYq,"A foil-wrapped food item is placed in a bag and handed to a man outside the car, followed by a skateboard gliding down a curved path as the camera tilts down toward a puddle.","[1, 2, 3, 4]",12325.099,Scene Cut
3ZBNPR,"The group paddles energetically into rough waters, with the camera slightly zooming in, then shifts to a joyful celebration as the raft moves backward, revealing more of the scenic surroundings with a camera zoom out.","[1, 3, 4, 2]",5148.7314,Scene Cut
kQ5JVB,"The round brush moves upward, aligning with the hairdryer near the head, then the blow dryer shifts right and tilts upward as the round brush enters from the left.","[2, 1, 3, 4]",3694.7493,Scene Cut
mVEPOP,"The girl adjusts her posture as the music stand rotates slightly counter-clockwise, then she smiles, lowers the flute while bowing, and the camera zooms in slightly.","[2, 4, 3, 1]",7030.7847,Scene Cut
IkGcsb,"The worker applies plaster with a trowel at waist level, smoothing it on the wall as the camera tilts upward, then transitions to using a sponge to refine the surface, changing the wall from rough to smooth.","[4, 2, 1, 3]",7335.276,Scene Cut
iuytZv,"The bike components fade into the SRAM logo, then the scene shifts to a person moving from cleaning a car's side mirror to polishing the wheel, with a slight camera zoom in.","[3, 4, 1, 2]",15832.069,Scene Cut
IVgZKZ,"The camera transitions from a bike wheel outdoors to a person indoors at a table, then pans to another person examining an object before bringing a harmonica to their mouth, ready to play.","[1, 3, 4, 2]",6626.1,Scene Cut
FGXdAk,"The camera zooms in on the man playing the piano, then shifts to the person singing into the microphone, lowering their head before raising their gaze towards the computer screen.","[4, 2, 3, 1]",6487.0034,Scene Cut
Yv1n49,"As the camera tilts up and pans right, skaters glide into the plaza and recede into the background; a rider then moves forward, slightly right, and passes a fellow skater while approaching the camera.","[1, 4, 2, 3]",12855.328,Scene Cut
vD1NJD,"The lens moves from the palm to the fingertip near the eye, followed by a hair tie appearing and moving closer to secure the braid as the camera slightly zooms in.","[4, 2, 1, 3]",6772.6235,Scene Cut
TiFHpx,"The mug is removed as the knife slices the cake on the plate, then the pan is filled with beaten eggs and chopped onions to form an omelet mixture.","[3, 4, 1, 2]",8416.208,Scene Cut
joWKjc,"The raft transitions from calm waters to rough rapids, tilting upwards, as the camera zooms from the riverbank to highlight the rafters' joyful expressions.","[4, 3, 2, 1]",4431.5894,Scene Cut
LXgcsE,"The athlete runs from the starting line to the jump area, celebrating with the cheering crowd as the camera tilts up, then lands in the sand pit and bends forward, with the camera tilting down slightly.","[3, 1, 2, 4]",1973.1484,Scene Cut
Eac4Jk,"The person turns from the sink, exits through the door, then the scene shifts to them near a towel, with the camera zooming in as they move closer to the mirror to insert something into their eye.","[3, 1, 4, 2]",5136.8433,Scene Cut
ZO5hHJ,"The boy stands at the piano, raising the flute closer to his mouth as the camera zooms in, then the performer moves slightly right while playing the flute as the camera zooms in on her near the piano.","[1, 3, 4, 2]",7096.267,Scene Cut
1tTAio,"The presenter demonstrates camera equipment on the beach, followed by a diver surfacing in the water; then a person swims upward from underwater, emerging to greet friends on the shore.","[2, 3, 1, 4]",7082.263,Scene Cut
LzCOJT,"The dancers remove colorful scarves, spreading apart with synchronized movements, as the performer descends from the tightrope to the ground, moving away from the camera.","[3, 2, 1, 4]",4946.472,Scene Cut
v0eryt,"A man rows on a machine, transitioning to the Atlantic Challenge fundraising details; the scene shifts to a musician playing the flute, as the camera zooms out to reveal the audience and room.","[1, 4, 3, 2]",11219.402,Scene Cut
KNt042,"A person walks across a log and jumps off it, as the scene shifts to a figure rising higher among the trees, becoming less distinct in the darkening forest.","[1, 4, 3, 2]",12207.622,Scene Cut
VGiFKb,"The rider and horse trot steadily from right to left as the camera stays still, then a person grooms the horse by the gate, moving to its rear and holding a spray bottle.","[1, 2, 3, 4]",5855.9883,Scene Cut
ycSWN7,"The document about archery events transitions to a person expressing concern directly to the camera, then a woman initially smiles and touches her hair before pulling it back with her hand.","[3, 1, 2, 4]",14160.718,Scene Cut
HbxVgx,"The cheerleader is lifted above her teammates as the group in pink enters from the left, moves right, and exits the frame, followed by the group in green and blue approaching from the left.","[1, 2, 3, 4]",3933.3594,Scene Cut
vWpZvB,"The dealer lowers his hands as cards appear face-up on the table, then moves forward to place chips on the betting area as the camera zooms in.","[4, 3, 2, 1]",4046.7458,Scene Cut
wnDqMm,"A person on spring-loaded stilts bounces away down the street, followed by a skater leaning into a turn on a dark road as the camera zooms in on their injured ankle.","[2, 4, 3, 1]",3810.9514,Scene Cut
RKz7GZ,"The device is lowered to the ground and exits the frame as the camera zooms in, then the snowboarder jumps and rotates counter-clockwise mid-air, landing back on the snow while moving away from the camera.","[1, 2, 3, 4]",13180.305,Scene Cut
ALlVu0,"The skier moves away into the snowy expanse as the camera tilts upward, transitioning to sunlight filtering through trees, followed by a skater gliding left on a road.","[2, 3, 1, 4]",24030.643,Scene Cut
PxcQEr,"A tomato slice is placed on lettuce, followed by the top bread slice and cutting, while cheese moves onto the right bread slice as meat is layered, forming a towering sandwich.","[4, 2, 3, 1]",5760.996,Scene Cut
YQK1CL,"The nail art transforms from colorful stripes to a cartoon cat shape with detailed outlines, while a gift is unwrapped, folded neatly, and placed among other presents as the camera zooms out slightly.","[1, 2, 3, 4]",5853.92,Scene Cut
Sq803M,"A man rides a horse leftward in an arena with calorie burn text overlay, then a rider moves right on a horse as the background shifts left, with the camera panning left.","[1, 4, 2, 3]",4157.2554,Scene Cut
L21vTP,"Spectators at a rodeo vanish as ""Triple Threat Feed"" text appears, transitioning to a performer running across a stage, lowering to the floor, and gracefully raising her arm.","[2, 4, 1, 3]",13172.43,Scene Cut
rXxCCr,"The console display zooms in to reveal detailed workout metrics, then the toaster releases bread, which enters the frame with cream cheese spread, while a banana appears nearby.","[2, 1, 4, 3]",6888.3843,Scene Cut
cyZWOr,"A Santa hat is lifted as the camera pans to reveal people decorating a Christmas tree, then a parent raises an ornament while children joyfully spin in front of a brightly lit tree.","[3, 4, 1, 2]",2434.286,Scene Cut
2Fz3lI,"The person lowers and tilts their head to the left while singing into the stationary microphone, then remains seated at the keyboard as the flute moves closer to their mouth.","[2, 1, 3, 4]",4120.959,Scene Cut
2Xi7WP,"The windsurfer glides away as the camera zooms out, revealing the vast water, then the view shifts to a surfer approaching a rising wave, with the camera tilting upward to capture the wave's height.","[4, 2, 3, 1]",4329.477,Scene Cut
EFQC5X,"The pan moves from mid-air to the stove, transitioning to a salad preparation area, then chopped herbs are added to a pan, replaced by cooked meat as the camera slightly zooms in.","[1, 2, 3, 4]",3655.3655,Scene Cut
jYoUnm,"The ball moves from right to center as the player swings, then the scene shifts to players on the field before zooming in on Tom McCartney's contact information.","[1, 4, 3, 2]",9787.215,Scene Cut
01tbp8,"The Mountain High logo fades as a snowboarder approaches the camera, then exits right while the camera tilts up, revealing a snowy slope and other skiers.","[4, 1, 2, 3]",8261.798,Scene Cut
ehvgnk,"The man slices the object vertically with a knife, then examines two objects, lowering one while the camera zooms in on the other as it becomes more centered.","[1, 2, 4, 3]",5687.3633,Scene Cut
Rzdkco,"The cake is carved and topped with jelly, then the camera shifts to a sandwich being cut before a subscribe prompt with food images fills the frame.","[3, 4, 1, 2]",8576.558,Scene Cut
vKBYZX,"The tattoo artist prepares to pierce the person's lip as the camera zooms out, revealing others nearby, before the scene shifts to a person adjusting their position, bending and then standing with one leg on the tub.","[1, 2, 4, 3]",10263.111,Scene Cut
WAvyvi,"The skater stops under a spotlight, standing upright with the skateboard, then the scene shifts to a person clearing snow from the car's roof, moving downward and right to focus on the side and windshield.","[1, 3, 2, 4]",1125.8467,Scene Cut
UDUZvx,"A person points at tire markings, holds up a new tube, then a close-up shows a hand tightening a bike component before the camera pans to a person riding down a bike store aisle.","[3, 2, 4, 1]",4026.6057,Scene Cut
cFQZhh,"The harness is placed on the dog's shoulders and then held up, while the groomer lifts another dog to trim its face.","[3, 2, 4, 1]",5570.9907,Scene Cut
e0BwRh,"Hands grip the stationary wooden bar against the wall, then a tool secures the carpet edge as it shifts right.","[2, 1, 4, 3]",4442.6177,Scene Cut
m2m8Nx,"The athlete runs towards the sand pit, landing and kneeling, as the camera pans right to reveal a pole vaulter on the mat, then shifts focus to a photographer standing near the performance board.","[3, 4, 2, 1]",3335.9717,Scene Cut
eiGA5E,"A person tilts a spray bottle towards a blue container, then a window screen is removed from the frame, transitioning to display the Jeld-Wen logo.","[4, 2, 3, 1]",6733.301,Scene Cut
5L5iU9,"A man approaches the piano player from behind, while in another scene, brown shoes are cleaned, laced, and showcased with a slight zoom, highlighting their polished appearance.","[1, 4, 2, 3]",15865.72,Scene Cut
JhMxQi,"The raw meat flips clockwise in the pan, revealing a cooked side as a spatula enters from the left; then the scene zooms out to show chefs adding ingredients around a table, focusing on the cooking process together.","[4, 3, 2, 1]",6857.508,Scene Cut
B3HJ22,"A person with an umbrella walks towards a parked vehicle as the camera zooms out to reveal a snowy parking lot; then, the view shifts to a snowy cityscape and a rooftop where someone shovels snow while a girl raises a snowball.","[3, 2, 1, 4]",12438.977,Scene Cut
BYkTS1,"The scene transitions from a man eating to scrambled eggs being placed on bread, then shifts to cucumber slices arranged on bread, culminating with a promotional screen offering subscription and recipe options.","[3, 1, 2, 4]",6656.187,Scene Cut
APhinm,"The camera zooms in on a person lying flat on an inner tube sliding down the snowy hill, then pans up to reveal a group of individuals with tubes waiting at the top of the slope.","[2, 3, 4, 1]",6646.5815,Scene Cut
3Ii5HO,"The dog runs right with an orange frisbee, then moves closer with a pink frisbee as the background shifts slightly left.","[2, 4, 3, 1]",8788.333,Scene Cut
8PfELy,"The box rotates slightly upward as the wrapping is completed, then a ribbon is tightened around it, and the hands adjust the bow, finalizing the decorative wrapping.","[2, 1, 3, 4]",7452.8945,Scene Cut
U15ZSM,"A person stretches in a yoga pose against the sunset, transitioning to a group seated at a table as the camera zooms out; meanwhile, hair moves from unbraided to partially braided as hands weave it together.","[3, 2, 4, 1]",24530.713,Scene Cut
qLi1oX,"The stylist transforms loose curls into a braided updo with a zoom-in, then the person extends their braid to the right as the camera zooms out, revealing more of the hairstyle and background.","[3, 1, 2, 4]",5987.2954,Scene Cut
h3lwhC,"The gymnast transitions from standing beside the pommel horse to gripping its handles, while the pole shifts from a side view to a close-up as the athlete leaps over it.","[4, 2, 1, 3]",4644.986,Scene Cut
4uk9YW,"The scene transitions from players celebrating a goal to a wider view of a chaotic battle near the goal, then shifts to an athlete standing before lying down on the track, with the camera slightly zooming in.","[2, 4, 3, 1]",3436.0625,Scene Cut
PGP1JD,"A yellow sponge scrubs the sink, replaced by a blue cloth moving right, then a tool smooths the ceiling in a close-up, shifting to a wider view as a person continues painting overhead.","[3, 2, 1, 4]",5073.1313,Scene Cut
2koYk3,"A gloved hand with scissors approaches and tilts upward near a smiling woman's ear, then a tool exits as another woman extends her tongue outward.","[1, 3, 4, 2]",6447.621,Scene Cut
rkfOpd,"A bartender shakes a cocktail and exits as a black screen displays a website link, transitioning to reveal a woman vacuuming a rug around a coffee table in a living room.","[1, 3, 4, 2]",6037.521,Scene Cut
RS2vmt,"The person playing the conga drums shifts slightly to the right while maintaining rhythm, then a mixing bowl moves from the back to hover directly above the cake base on the counter.","[4, 2, 3, 1]",8922.383,Scene Cut
lyXtSi,"The laser carves a jack-o'-lantern face onto the pumpkin, then a person scoops out its insides, carves a similar face, and places the top back on.","[2, 4, 3, 1]",14766.106,Scene Cut
qVz2H6,"A windsurfer disappears as forward loop tips fill the screen, transitioning to a child running toward a slide and sliding down onto the slip n' slide.","[2, 4, 1, 3]",15311.044,Scene Cut
i00J9G,"An orange peel is removed from the cocktail, transitioning to a green logo close-up, then the scene shifts to a person polishing a car wheel as the camera slightly tilts downward.","[4, 1, 3, 2]",24656.438,Scene Cut
sa1eva,"Pasta is added to sauce and presented on a table, then lemons are picked up from the counter as the woman begins squeezing them.","[1, 3, 2, 4]",8483.091,Scene Cut
VqKfGo,"The man tilts the snow shovel forward to start shoveling, then the person shifts right while clearing snow from the car's hood as the camera zooms in slightly.","[3, 4, 1, 2]",4206.099,Scene Cut
WBggDi,"The athletes prepare the long jump area, followed by a close-up of a runner; then Taylor transitions from standing on the track to landing in the sandpit, as the camera zooms out slightly.","[1, 3, 2, 4]",3441.1272,Scene Cut
SrJZpV,"The child stirs sugar in a cup, then waves at the camera, while the girl outside lowers her right arm, keeping the left arm raised.","[3, 2, 4, 1]",5675.854,Scene Cut
Z26bsX,"The child paints the red gate, moving closer and reaching upward with a brush, then transitions to climbing the yellow slide, ending at the bottom of the red slide alongside another child.","[3, 2, 4, 1]",4855.922,Scene Cut
oZdBlL,"The boy hops forward on the chalk hopscotch, disappearing from view as the camera shifts left; then, an adult approaches a play structure, and the camera tilts up to capture a child sliding down the red slide.","[3, 1, 4, 2]",8778.421,Scene Cut
ODwl7k,"The wrapping paper is tilted around the box as scissors approach, then a roller moves from the girl's hand to her ear, with the camera zooming out to reveal her styled look.","[4, 2, 3, 1]",7739.0386,Scene Cut
wCbwPl,"The flame grows larger and moves upward through the branches, then intensifies as smoke rises from the twigs above, strengthening the fire.","[1, 2, 4, 3]",3865.3435,Scene Cut
Wymfvo,"The man applies shaving cream to his face while looking mildly surprised, then lowers the razor, examines his reflection, and moves closer to the mirror, adjusting his facial hair.","[1, 2, 3, 4]",7534.1978,Scene Cut
jQYGVT,"The performer descends gracefully from the tightrope to the stage, then the scene shifts to a diver executing a flip mid-air, exiting downward as the sky darkens and lights illuminate the pool area.","[3, 1, 2, 4]",7570.806,Scene Cut
J76glE,"A person applies makeup to their face, then the camera shifts to reveal a girl’s profile as her hair is sectioned and held up.","[2, 1, 3, 4]",9711.3,Scene Cut
ylo2yv,"The worker's hand exits the roof frame as the view shifts to a stationary truck, followed by a snowy street where a person moves to the left side of a red vehicle, raising a tool to clear snow.","[3, 2, 1, 4]",5635.228,Scene Cut
Ubpbu9,"The harmonica player performs and smiles at the audience as the camera zooms out, revealing more of the crowd; then, the guitarist shifts his stance and leans right, engaging with the audience as the camera tilts up.","[1, 2, 3, 4]",4465.526,Scene Cut
GLj11Y,"The musicians shift slightly right on stools under red lighting as the camera pans left; then, a musician plays a guitar as the camera zooms in on the strings, focusing intently on his performance.","[4, 2, 1, 3]",3375.3528,Scene Cut
VBpmC2,"The iron glides over the pants as the screen fades to black, then a kettlebell is lifted upward while the person transitions smoothly from kneeling to standing, maintaining balance.","[2, 3, 4, 1]",21543.01,Scene Cut
RMtzAf,"The climber ascends the rock face, reaching a ledge with a zoom-out view, then continues climbing upward toward another ledge.","[1, 2, 3, 4]",5101.678,Scene Cut
RPhbo6,"The marching band recedes toward the building in the background, while the drummers advance from the street's right side to the center with a slight camera zoom in.","[3, 2, 1, 4]",3423.5186,Scene Cut
GwHyI3,"One person approaches with a towel as the other turns away, then a hand reaches into the fridge, followed by two people leaning closer together as the camera tilts down.","[3, 1, 4, 2]",8926.319,Scene Cut
UJxmDR,"The batter is poured into a pan and transforms into a glazed cake with a slice removed as the camera zooms out, then mayonnaise is squeezed onto bread and transitions to a sandwich layered with egg, ham, and arugula as the camera zooms in.","[3, 4, 1, 2]",7973.0156,Scene Cut
o3saxe,"The hand transitions from applying a protective cover to painting the cabinet front, while the camera zooms in on a jar as a spoon stirs the liquid inside.","[1, 2, 4, 3]",4019.7976,Scene Cut
MacaAb,"The woman applies mascara, lowers her hand, puts on glasses, and smiles, as the camera shifts right; then stands by a fence, exits the frame, and a man paints the fence from left to right.","[3, 2, 1, 4]",7207.6836,Scene Cut
vKGSbp,"A person turns away from the pool table while another raises a cue in celebration, then a person approaches a punching bag, striking it multiple times as it shifts slightly to the right.","[4, 3, 2, 1]",1229.6576,Scene Cut
5CJygE,"The blue gift is fully wrapped with its top closed, then the scene shifts to a flat blue paper, where hands fold and partially secure a flap, moving slightly rightward.","[1, 4, 2, 3]",6675.9634,Scene Cut
g93QAq,"The diver transfers the tool from left to right hand, securing the pool cover, then moves from exploring a sunken ship to swimming through coral, shifting forward and slightly upward.","[3, 2, 1, 4]",6845.2383,Scene Cut
6fkKw7,"The camera shifts focus from the person's abdomen to their face, then the scene transitions to the person raising their torso and bringing their knees closer to their chest in a crunching motion.","[3, 4, 1, 2]",6621.8276,Scene Cut
dc7u34,"The shovel lifts upward as the person steps back, then the skier descends and turns right while another skier approaches from the left, with the camera tilting upwards.","[2, 3, 4, 1]",5015.844,Scene Cut
Zm0AtB,"The climber ascends from a rocky overhang to a vertical wall, with a camera tilt from above to below, then the view shifts to a close-up of the climber on a rock face before zooming out to an aerial landscape view.","[4, 2, 1, 3]",7013.556,Scene Cut
dyYCLY,"A man kneels near an ice hole as the camera zooms in, then another person leans closer to the hole, revealing a fish, and moves towards the camera to retrieve it.","[1, 2, 4, 3]",5229.845,Scene Cut
bMxfan,"The girl lowers and tilts the flute downward while bowing forward, then the performer, holding the flute, shifts slightly to the right as the camera zooms in.","[2, 3, 4, 1]",6585.521,Scene Cut
RUCUKW,"The ""BUST"" text disappears as the dealer remains at the table, followed by a camera zoom-out; then, another dealer lowers his hands to reveal the cards dealt on the table.","[3, 2, 4, 1]",3082.9355,Scene Cut
wsPFFS,"The person in the white hoodie joins the hooded coat individual to clear snow from the car, then shifts from the car's front to the side, facing the roof directly.","[2, 3, 1, 4]",482.1979,Fine-grained
8VCyxM,"The dancer rotates her body counter-clockwise while extending her arms from forward to left, then two dancers move closer and embrace, transitioning from a graceful dance to an intimate pose as the camera slightly zooms in.","[1, 2, 3, 4]",4518.114,Scene Cut
lP923E,"The windsurfer moves to a more upright position as the camera slightly zooms out, then exits the frame as instructional text for a forward loop appears.","[1, 2, 3, 4]",8522.819,Scene Cut
NrhLrn,"The polished brown shoes are laced up with a slight zoom in, then the clippers recede as fingers approach the hair, with a slight camera pan to the right.","[3, 4, 1, 2]",9984.302,Scene Cut
qzL6iK,"A person stands up from kneeling by a car jack to focus on the tire, then the scene shifts to another person applying wood finish, transitioning to a close-up of painting supplies as the camera zooms out and pans slightly right.","[1, 2, 4, 3]",7326.0757,Scene Cut
EZHmE4,"The kids run rightward with energy as the camera pans right, then the crowd gathers under the balloon arch, shifting slightly left as the camera continues to pan right.","[1, 3, 2, 4]",4502.505,Scene Cut
d4kgbX,"The man shaves from his left cheek to chin while turning towards the mirror, then the scene shifts to a boy washing his hands, followed by text on a blue background about handwashing reminders.","[1, 4, 2, 3]",2717.1523,Scene Cut
lDzXlG,"A man with shaving cream on his face enters from the left, then another man, in front of a mirror, raises a trimmer to his face and inspects his beard, moving the trimmer away to check its shape.","[3, 1, 4, 2]",8811.772,Scene Cut
yB87HA,"The runner moves forward and exits the frame as the camera zooms into a celebratory marathon graphic, transitioning to colorful shapes that disappear, revealing a man playing drums.","[4, 3, 2, 1]",9159.622,Scene Cut
CSnuPh,"Two children paint a red fence before the camera pans right, revealing a pool area, then shifts to a worker smoothing a plastered wall with a trowel and sponge, moving left to right.","[1, 2, 3, 4]",5105.786,Scene Cut
bZNI9Y,"The whipped mixture in the bowl transitions to a decorated cake with a text prompt, then shifts to a person spreading frosting on a cake, followed by pink fondant being rolled out on the countertop.","[4, 3, 1, 2]",5502.722,Scene Cut
sVeX2h,"The drummers shift right as the camera pans left, revealing more musicians in a lively performance; then, the central drummer steps forward and lowers the drum to the ground while others stand by attentively.","[1, 2, 3, 4]",5155.911,Scene Cut
jQ2I7a,"The wrap is rolled and cut into sections with a downward knife motion, then the mixture transitions from smooth to thick as a spatula stirs in chocolate chunks, replacing the whisk.","[4, 1, 3, 2]",8434.695,Scene Cut
RbZywd,"The video opens with a title on fitting a new chain, then reveals a person in front of tools; hands adjust the bike's cable tension, shifting the wheel slightly right to center it relative to the brake.","[2, 1, 3, 4]",4967.9946,Scene Cut
PXzQRA,"The man's hand lowers as his expression turns serious, then another man opens his eyes and gestures towards his face.","[2, 4, 1, 3]",2573.6746,Scene Cut
5UllUx,"Spectators cheer near the throwing circle as the camera zooms into a coaching logo, then shifts to a person kneeling and extending a resistance band horizontally, raising their arm from bent to extended.","[4, 2, 1, 3]",14392.313,Scene Cut
nd1dDa,"The snowboarder exits right as the camera pans left to reveal skiers, then shifts to a mountain slope with a skier approaching through the trees.","[1, 2, 3, 4]",7776.66,Scene Cut
OSjqsI,"The dancer faces the camera, lowering her arms on the cobblestones, then twirls counter-clockwise on stage, her costume flowing outward as she transitions from a frontal to a side view.","[3, 1, 4, 2]",15575.017,Scene Cut
GiFCg6,"The player moves left toward the stumps, raising his bat as another player approaches from the right; then, the man in the pink cap moves right toward the croquet balls while another player enters from the left.","[3, 1, 2, 4]",3088.4573,Scene Cut
INeeQM,"The snowboarder descends, adjusting to a centered stance as the camera zooms in, then the skier navigates a steep edge before exiting to reveal a red background with text prompting viewer engagement.","[4, 3, 1, 2]",7322.806,Scene Cut
x18WUy,"Leaves swirl upward, dispersing before settling into a thick ground layer, as the camera pans left, capturing a fence shifting from a diagonal to vertical orientation.","[3, 2, 1, 4]",8156.6343,Scene Cut
Mib78e,"The man rows on the machine, then the focus shifts to fundraising logos and text, as performers raise their arms on steps before exiting right, carrying their equipment.","[1, 4, 3, 2]",8015.422,Scene Cut
quIPlt,"The person paints the wall while moving right, then wipes a plate on the table as the camera tilts down slightly.","[1, 2, 3, 4]",4665.0283,Scene Cut
jU7a0y,"The shoe rotates upward and shifts right as the brush moves down in the sink, then the sponge transitions from the sink's side to flat in the basin while the gloved hand shifts leftward.","[4, 1, 3, 2]",5233.2935,Scene Cut
vlREki,"A person on a platform trims the hedge as a tractor moves closer, then the person continues trimming while two children slightly shift positions on the lawn mower below.","[4, 2, 1, 3]",1804.9918,Scene Cut
LFXbFA,"The athlete falls backward onto the track with legs bent and arms spread, then approaches the pole, leaping over it as the camera zooms in on the action.","[3, 4, 1, 2]",3844.5964,Scene Cut
sWoKjK,"A woman uses a stick to remove snow from her car before driving on a snowy road, then a person clears snow from the roof of a blue car, moving to brush the rear as the camera pans left.","[4, 1, 3, 2]",11530.427,Scene Cut
KLSXPN,"The person clears snow from the car's roof, pushing it off with a shovel, then the skier moves from a forested trail to an open slope, descending downhill toward other skiers in view.","[2, 1, 3, 4]",7702.03,Scene Cut
RDubAZ,"A person jumps from a sand pit to clear a high jump bar, as the camera shifts right; then, a curling stone slides left while players approach to sweep, with the camera slightly panning to follow.","[4, 3, 1, 2]",5468.3867,Scene Cut
GiIoJt,"The riders move through the water, nearing the camera with a slight zoom, then transition from the stable area into the forest, receding into the distance as dust rises behind them.","[4, 2, 3, 1]",8299.562,Scene Cut
0g5qOU,"The woman lowers her green-gloved hands beside the wheelbarrow filled with grass, then the fish is lifted and slightly rotated as the person's hands adjust its position while the knife remains on the ground.","[2, 4, 3, 1]",4255.7134,Scene Cut
