id,sentence,shown_images,target
YGRFRs, We see ingredients added to a bowl.,"['YGRFRs_zih.jpg', 'YGRFRs_ckv.jpg', 'YGRFRs_oju.jpg', 'YGRFRs_els.jpg']","[3, 1, 2, 4]"
NWXHpM,"The woman begins to pour a liquid from a measuring cup into a large jar, then stirs the mixture with a wooden spoon before looking directly at the camera. She raises her hand, indicating the jar as she speaks.","['NWXHpM_caq.jpg', 'NWXHpM_hvr.jpg', 'NWXHpM_tzl.jpg', 'NWXHpM_wnf.jpg']","[1, 4, 2, 3]"
gUeizw,"The diver ascends away from the wreck while holding a tool, transitioning to fish swimming over coral, ending with a promotional video screen displaying multiple video thumbnails.","['gUeizw_zhm.jpg', 'gUeizw_syx.jpg', 'gUeizw_ahn.jpg', 'gUeizw_kpe.jpg']","[2, 3, 4, 1]"
v2vFD6,A man props his leg on the side of a tub.,"['v2vFD6_auh.jpg', 'v2vFD6_boy.jpg', 'v2vFD6_kxs.jpg', 'v2vFD6_nmm.jpg']","[1, 2, 3, 4]"
kbCOdL, He is running down the lane and the he jumps 3 times into the sand.,"['kbCOdL_eah.jpg', 'kbCOdL_evo.jpg', 'kbCOdL_ggi.jpg', 'kbCOdL_orr.jpg']","[1, 2, 3, 4]"
Fxheme,A person is raking leaves into a pile.,"['Fxheme_ndv.jpg', 'Fxheme_kzv.jpg', 'Fxheme_iip.jpg', 'Fxheme_bdo.jpg']","[2, 4, 1, 3]"
qxR6Tu,"A camouflaged shoe shifts right in the sink as the toothbrush moves away, then a worker pulls a torch back and raises a tool towards the roofing seam.","['qxR6Tu_hpq.jpg', 'qxR6Tu_lel.jpg', 'qxR6Tu_lfx.jpg', 'qxR6Tu_two.jpg']","[3, 2, 1, 4]"
h8wlMy,"Shingles are positioned on the roof as the camera pans right, revealing a large pile of leaves against a cleared grassy area.","['h8wlMy_fkp.jpg', 'h8wlMy_ocs.jpg', 'h8wlMy_par.jpg', 'h8wlMy_wrt.jpg']","[3, 2, 4, 1]"
rrlod2, The participants begin their stunts on the skateboards as they go over ramps and steep slopes.,"['rrlod2_nak.jpg', 'rrlod2_sdj.jpg', 'rrlod2_tda.jpg', 'rrlod2_ucw.jpg']","[1, 4, 2, 3]"
7d7AKJ,A falls off a skateboard in an awkward way.,"['7d7AKJ_lkf.jpg', '7d7AKJ_lfs.jpg', '7d7AKJ_nfr.jpg', '7d7AKJ_srh.jpg']","[4, 3, 1, 2]"
AtlsRG, One man runs away to grab the ball and leads back into them playing.,"['AtlsRG_bgd.jpg', 'AtlsRG_iru.jpg', 'AtlsRG_stb.jpg', 'AtlsRG_uht.jpg']","[4, 2, 1, 3]"
2iVsjF,"The yellow tool is lowered onto the ski and adjusted with a slight clockwise rotation, then the waxing iron moves forward along the ski and slightly downward in a steady motion.","['2iVsjF_bio.jpg', '2iVsjF_gis.jpg', '2iVsjF_rnn.jpg', '2iVsjF_wqs.jpg']","[4, 1, 2, 3]"
tLsSpK,"The woman begins by putting on a blue glove, then moves to clean the piano's lid, wiping it down as she raises it slightly. She continues to polish the surface, ensuring it shines.","['tLsSpK_bps.jpg', 'tLsSpK_cbl.jpg', 'tLsSpK_gvu.jpg', 'tLsSpK_wck.jpg']","[1, 2, 4, 3]"
SeAx8O,"The woman begins to feed the baby, then the baby looks curiously at the food, after which the baby takes a bite, and finally, the baby continues to eat.","['SeAx8O_gzq.jpg', 'SeAx8O_lpk.jpg', 'SeAx8O_nsg.jpg', 'SeAx8O_tsg.jpg']","[1, 3, 2, 4]"
l7h5zp,"The worker in the red shirt moves rightward from the fence as the camera pans right, then exits the slackline as the woman in the blue top enters, raising her arms for balance.","['l7h5zp_bvg.jpg', 'l7h5zp_cab.jpg', 'l7h5zp_dfe.jpg', 'l7h5zp_ykh.jpg']","[2, 1, 3, 4]"
fxAsO6,"A hairdryer moves out of view as the woman sings outdoors with text overlay, then a yellow sock shifts left on the bed while the person adjusts their other sock.","['fxAsO6_eck.jpg', 'fxAsO6_has.jpg', 'fxAsO6_iez.jpg', 'fxAsO6_nel.jpg']","[4, 2, 3, 1]"
WnzrCE,"The person pours milk from a pot into a strainer, then focuses on mixing the contents in a bowl, whisking vigorously as the mixture thickens.","['WnzrCE_aaj.jpg', 'WnzrCE_ptq.jpg', 'WnzrCE_fjy.jpg', 'WnzrCE_mzs.jpg']","[4, 3, 1, 2]"
fagRtY, She removes the lens out and places it on her finger.,"['fagRtY_mef.jpg', 'fagRtY_kqu.jpg', 'fagRtY_dqn.jpg', 'fagRtY_lbt.jpg']","[3, 1, 2, 4]"
9AMRsI,"The logo of the Madrid Nautical Ski Club transitions to a sunny lakeside view with a dock, as the camera pans from a slackline over water to a grassy area where a person balances with arms raised.","['9AMRsI_fgb.jpg', '9AMRsI_iyc.jpg', '9AMRsI_nns.jpg', '9AMRsI_woj.jpg']","[3, 1, 4, 2]"
8UZWO5,"The rider advances toward the jump on the dirt track, then the scene shifts to children at the starting gate, where one child navigates the track, approaching a corner alongside another rider.","['8UZWO5_blb.jpg', '8UZWO5_jsn.jpg', '8UZWO5_kra.jpg', '8UZWO5_opn.jpg']","[3, 1, 2, 4]"
3XNnqE, A person adjust the angle of the pedal and continues running.,"['3XNnqE_vus.jpg', '3XNnqE_qeg.jpg', '3XNnqE_vay.jpg', '3XNnqE_yva.jpg']","[2, 4, 3, 1]"
jaW6Ot," The winner team gets out the water and celebrates, and then the reporter interviews the team members.","['jaW6Ot_lgr.jpg', 'jaW6Ot_wrf.jpg', 'jaW6Ot_kyl.jpg', 'jaW6Ot_erk.jpg']","[2, 3, 4, 1]"
FhQJ7X," Another blue player gets the ball from out of bounds, puts it on the line and hits back into the game.","['FhQJ7X_ttr.jpg', 'FhQJ7X_prf.jpg', 'FhQJ7X_dkh.jpg', 'FhQJ7X_ipx.jpg']","[1, 2, 4, 3]"
A7rdrg,"The woman begins to smile and knit in the first frame, then shifts to a serious expression as she speaks in the third frame, and finally focuses on her hands crocheting in the last frame.","['A7rdrg_qix.jpg', 'A7rdrg_usm.jpg', 'A7rdrg_ubd.jpg', 'A7rdrg_tie.jpg']","[1, 3, 4, 2]"
antRoP, He throws the javelin into the field in front of him.,"['antRoP_smx.jpg', 'antRoP_jyi.jpg', 'antRoP_yjw.jpg', 'antRoP_rog.jpg']","[2, 1, 3, 4]"
yBGQTT,"The skier recedes into the distance as the camera slightly zooms out, then the rider glides left to center, cutting through the waves as the camera pans right.","['yBGQTT_afu.jpg', 'yBGQTT_hdg.jpg', 'yBGQTT_jzl.jpg', 'yBGQTT_kfo.jpg']","[1, 4, 3, 2]"
LPhlfJ, She then turns back to the sink full of dirty dishes.,"['LPhlfJ_fgo.jpg', 'LPhlfJ_fjs.jpg', 'LPhlfJ_kay.jpg', 'LPhlfJ_nel.jpg']","[4, 1, 3, 2]"
e2OKAk,"The hands move closer to the bicycle cables as the camera zooms in, then the tire is removed and lowered, revealing damage as the camera zooms in on the affected area.","['e2OKAk_dzx.jpg', 'e2OKAk_nbe.jpg', 'e2OKAk_oaq.jpg', 'e2OKAk_vkh.jpg']","[1, 4, 2, 3]"
XhoAuF,"The person lowers the tool and shifts right, adjusting their stance in the tall grass, then pulls a rope and the camera zooms in on their feet, focusing on shoes amidst leaves on the ground.","['XhoAuF_exu.jpg', 'XhoAuF_age.jpg', 'XhoAuF_nhg.jpg', 'XhoAuF_nhk.jpg']","[3, 4, 2, 1]"
WgCbnH, The kayak rider dips into the water and recovers.,"['WgCbnH_acl.jpg', 'WgCbnH_kvq.jpg', 'WgCbnH_qym.jpg', 'WgCbnH_ued.jpg']","[4, 1, 2, 3]"
no4GJy," With the use of a paintbrush, he covers the table with the liquid.","['no4GJy_bzm.jpg', 'no4GJy_ktr.jpg', 'no4GJy_mch.jpg', 'no4GJy_jez.jpg']","[2, 3, 1, 4]"
l8Camm,Several people float down a river in tubes.,"['l8Camm_grb.jpg', 'l8Camm_hqt.jpg', 'l8Camm_fiu.jpg', 'l8Camm_avy.jpg']","[1, 4, 2, 3]"
OppyjR,  The man wears a blue outfit as he paints the wooden fence a red color.,"['OppyjR_anh.jpg', 'OppyjR_flb.jpg', 'OppyjR_qzc.jpg', 'OppyjR_zce.jpg']","[1, 2, 3, 4]"
0VISzi, The two place the baking sheet in an oven.,"['0VISzi_sbi.jpg', '0VISzi_riy.jpg', '0VISzi_nut.jpg', '0VISzi_xlv.jpg']","[3, 2, 1, 4]"
ggjBSF,"The camera shifts from slices of bread and condiments to a mustard bottle, then transitions to a person opening a pasta package before zooming out to reveal them stirring a pot in the kitchen.","['ggjBSF_hdh.jpg', 'ggjBSF_kkq.jpg', 'ggjBSF_uug.jpg', 'ggjBSF_yxy.jpg']","[3, 4, 2, 1]"
AtoDOL, The man pauses to pick up and move the camera.,"['AtoDOL_eyc.jpg', 'AtoDOL_lsg.jpg', 'AtoDOL_qhn.jpg', 'AtoDOL_qsr.jpg']","[1, 2, 4, 3]"
9cGhhu,"The person climbs the ladder, raising an arm toward the ceiling, then transitions from sitting on the floor to standing upright, slightly turning away.","['9cGhhu_xpi.jpg', '9cGhhu_xtk.jpg', '9cGhhu_zza.jpg', '9cGhhu_qfc.jpg']","[4, 1, 2, 3]"
aZ5lyQ,"The player dribbles towards the basket in the first frame, then shifts to a seated position in the second frame, followed by an animated scene, and finally showcases various video playlists.","['aZ5lyQ_iba.jpg', 'aZ5lyQ_lxa.jpg', 'aZ5lyQ_rzm.jpg', 'aZ5lyQ_usf.jpg']","[1, 2, 3, 4]"
RA53LC,The man turns around and points and scolds the bird and continues to walk.,"['RA53LC_zhs.jpg', 'RA53LC_npq.jpg', 'RA53LC_jus.jpg', 'RA53LC_nkd.jpg']","[4, 3, 2, 1]"
w7Dkob, The children gets off the bumper cars and walk to the exit.,"['w7Dkob_ppb.jpg', 'w7Dkob_hmg.jpg', 'w7Dkob_mof.jpg', 'w7Dkob_pnk.jpg']","[3, 2, 1, 4]"
By690T,"The worker expands from a close-up crack to a broader roof area, then the diver jumps off the platform, creating a splash in the pool.","['By690T_fcw.jpg', 'By690T_jiw.jpg', 'By690T_rib.jpg', 'By690T_syg.jpg']","[1, 2, 3, 4]"
WnEBUB," The car is dried and vacuumed, then on to the next car.","['WnEBUB_qye.jpg', 'WnEBUB_jmx.jpg', 'WnEBUB_vzp.jpg', 'WnEBUB_rvr.jpg']","[2, 1, 4, 3]"
4TZT5W,"A yellow-gloved hand lowers a sponge into the sink, then a tool is pulled from the sink with debris as water runs above.","['4TZT5W_aoi.jpg', '4TZT5W_fob.jpg', '4TZT5W_qhq.jpg', '4TZT5W_vxa.jpg']","[4, 2, 3, 1]"
0svM8w,"A person adjusts a bicycle while another approaches and points as the camera angle lowers, then a worker cleans glass with a second worker entering from the right, lowering their tool onto the surface.","['0svM8w_cop.jpg', '0svM8w_kpe.jpg', '0svM8w_qqm.jpg', '0svM8w_vde.jpg']","[3, 4, 1, 2]"
WSpUl2,"The timer on the phone changes from 00:00.0 to 01:09.3 as a finger nears the screen, then a hand exits the frame while a woman walks past from left to right.","['WSpUl2_lfs.jpg', 'WSpUl2_cbi.jpg', 'WSpUl2_ilp.jpg', 'WSpUl2_qbq.jpg']","[1, 2, 3, 4]"
LKvCWH, The woman puts wallpaper on the area.,"['LKvCWH_car.jpg', 'LKvCWH_pda.jpg', 'LKvCWH_zwc.jpg', 'LKvCWH_xls.jpg']","[1, 3, 2, 4]"
866MIp, She jumps off of the diving board.,"['866MIp_gpp.jpg', '866MIp_uiz.jpg', '866MIp_ymy.jpg', '866MIp_yqy.jpg']","[1, 2, 3, 4]"
79Nj3K, The boy leans back on his board and flips back over the other skier.,"['79Nj3K_kue.jpg', '79Nj3K_tte.jpg', '79Nj3K_oda.jpg', '79Nj3K_vbe.jpg']","[2, 3, 4, 1]"
ckAbSV,"The bottle labeled ""Cookie Dough"" rises beside the dog's head, transitioning to a zoomed-out view revealing a tattooed wrist and arm details as the tattooing process progresses.","['ckAbSV_gwn.jpg', 'ckAbSV_qzc.jpg', 'ckAbSV_tcy.jpg', 'ckAbSV_zqo.jpg']","[4, 2, 3, 1]"
MgfQof,"A group mounts camels and forms a line moving left as the camera pans slightly left; subsequently, a camel with a rider moves left, stops to graze, and is guided by another person as the camera pans slightly.","['MgfQof_zvc.jpg', 'MgfQof_cfq.jpg', 'MgfQof_vpl.jpg', 'MgfQof_gaz.jpg']","[2, 4, 3, 1]"
hbzFtg,A close up of a box is shown followed by a person wrapping it with paper.,"['hbzFtg_ini.jpg', 'hbzFtg_crw.jpg', 'hbzFtg_yyy.jpg', 'hbzFtg_jhg.jpg']","[4, 3, 1, 2]"
ksn3Ku," The ingredients are mixed into a bowl one at a time, adding eggs, sugar, and butter.","['ksn3Ku_fxz.jpg', 'ksn3Ku_std.jpg', 'ksn3Ku_eoy.jpg', 'ksn3Ku_jzp.jpg']","[2, 1, 4, 3]"
MxS9OJ,"The surfer moves into the wave, then the view shifts to the calm water at sunset, followed by the wave rising, and finally, the shoreline comes into view.","['MxS9OJ_rnz.jpg', 'MxS9OJ_jgs.jpg', 'MxS9OJ_tah.jpg', 'MxS9OJ_heq.jpg']","[4, 2, 1, 3]"
zWfpHm,A camera pans over a sink full of dishes followed by a woman jogging over.,"['zWfpHm_pml.jpg', 'zWfpHm_jbi.jpg', 'zWfpHm_kjl.jpg', 'zWfpHm_bet.jpg']","[3, 2, 4, 1]"
bp9QGb,Three men exhibit hammer throws in an outdoor Olympic event surrounded by onlookers on the field and in bleachers.,"['bp9QGb_dkc.jpg', 'bp9QGb_mlb.jpg', 'bp9QGb_rsn.jpg', 'bp9QGb_ryz.jpg']","[1, 2, 3, 4]"
Jd9C15,"The dancer begins to sway gracefully, then turns away while raising her arms, before returning to face the camera and continuing her rhythmic movements.","['Jd9C15_bbm.jpg', 'Jd9C15_ioq.jpg', 'Jd9C15_rwc.jpg', 'Jd9C15_yad.jpg']","[1, 2, 4, 3]"
7bsTTR,"The mop shifts slightly right as the person steps forward with a camera pan, then the person moves left holding the mop closer to the camera, while the background shifts right.","['7bsTTR_azb.jpg', '7bsTTR_qas.jpg', '7bsTTR_bel.jpg', '7bsTTR_arh.jpg']","[3, 4, 2, 1]"
4c3emJ,"The camera zooms in as the sandcastle becomes more detailed with intricate additions, then shifts to the artist painting brown strokes over the sketched outline on the canvas.","['4c3emJ_bhx.jpg', '4c3emJ_myt.jpg', '4c3emJ_njk.jpg', '4c3emJ_ptt.jpg']","[4, 2, 3, 1]"
z8ay1F,"The person lowers their hand to play the congas as the camera zooms in slightly, then moves their hand from the top drum to the lower drum while maintaining rhythm.","['z8ay1F_bvp.jpg', 'z8ay1F_unp.jpg', 'z8ay1F_sgc.jpg', 'z8ay1F_nkx.jpg']","[3, 2, 1, 4]"
Bx5ozf, She takes out all the things she will need to make the drink.,"['Bx5ozf_awn.jpg', 'Bx5ozf_giv.jpg', 'Bx5ozf_uqt.jpg', 'Bx5ozf_tiv.jpg']","[2, 1, 4, 3]"
QlqIV1, He takes off running and does a long jump.,"['QlqIV1_ajo.jpg', 'QlqIV1_ymo.jpg', 'QlqIV1_kaa.jpg', 'QlqIV1_vbu.jpg']","[4, 3, 2, 1]"
mKWsnY, They go over a wave in the water.,"['mKWsnY_qjl.jpg', 'mKWsnY_hra.jpg', 'mKWsnY_ksx.jpg', 'mKWsnY_xhm.jpg']","[2, 3, 1, 4]"
euxkty,A woman in a pink shirt sprints down a track and jumps into sand.,"['euxkty_lms.jpg', 'euxkty_mih.jpg', 'euxkty_mmt.jpg', 'euxkty_dbv.jpg']","[1, 3, 4, 2]"
a47E9L, The boy in green swings out again and flips over the skier giving him a high five.,"['a47E9L_lds.jpg', 'a47E9L_hmv.jpg', 'a47E9L_fgc.jpg', 'a47E9L_snt.jpg']","[3, 4, 1, 2]"
RjnSwF," After, the woman puts the small glass inside the big glass.","['RjnSwF_ons.jpg', 'RjnSwF_pjm.jpg', 'RjnSwF_eea.jpg', 'RjnSwF_ywq.jpg']","[1, 4, 2, 3]"
tE2hWx, The family rides in a large grouping of inter tubes down a snowy slope.,"['tE2hWx_awo.jpg', 'tE2hWx_ddj.jpg', 'tE2hWx_hhr.jpg', 'tE2hWx_zpl.jpg']","[1, 2, 4, 3]"
fIpfTT, The camera catches another slide down the slope from a first person perspective while spinning.,"['fIpfTT_hnb.jpg', 'fIpfTT_hqp.jpg', 'fIpfTT_iyc.jpg', 'fIpfTT_zet.jpg']","[3, 2, 4, 1]"
eixlcD,"Fingers move from the right to the left eye, pulling down the lower eyelid, then the camera shifts to a hand writing on paper, transitioning to cutting it with scissors as the camera zooms in.","['eixlcD_lia.jpg', 'eixlcD_msc.jpg', 'eixlcD_nqg.jpg', 'eixlcD_qeo.jpg']","[3, 2, 1, 4]"
EJ86Rk, The girl then pushes the lawn mower along the yard.,"['EJ86Rk_amq.jpg', 'EJ86Rk_cyh.jpg', 'EJ86Rk_fjy.jpg', 'EJ86Rk_osz.jpg']","[1, 2, 3, 4]"
SnXD7d,"The camera shifts from a close-up of boots being polished to the person's face, then transitions to a person standing still and ends on a black screen displaying text.","['SnXD7d_oxh.jpg', 'SnXD7d_ixx.jpg', 'SnXD7d_gwt.jpg', 'SnXD7d_ppo.jpg']","[3, 2, 1, 4]"
7yXxPR, man is holding the wheel in a table and taking out the rubber from the rim and he changes it for another.,"['7yXxPR_hwp.jpg', '7yXxPR_ern.jpg', '7yXxPR_jsv.jpg', '7yXxPR_ipm.jpg']","[3, 2, 1, 4]"
j9oiuf,"The dancers begin to embrace, then move into a close hold, followed by a dramatic pose, and finally share a warm hug as the audience applauds.","['j9oiuf_nfj.jpg', 'j9oiuf_pgn.jpg', 'j9oiuf_ref.jpg', 'j9oiuf_txa.jpg']","[1, 3, 2, 4]"
xv0J1X, The woman holds a knife and begins carving the pumpkin along the lines she drew.,"['xv0J1X_aud.jpg', 'xv0J1X_bnt.jpg', 'xv0J1X_jsy.jpg', 'xv0J1X_tsp.jpg']","[3, 4, 2, 1]"
pfeZc9,"The worker positions a metal piece on the roof and adjusts shingles as the camera zooms in, then the hand holding a towel moves from the oven to wipe a plate on the table as the camera tilts down.","['pfeZc9_ima.jpg', 'pfeZc9_hmh.jpg', 'pfeZc9_ggn.jpg', 'pfeZc9_tcl.jpg']","[2, 3, 1, 4]"
VrRBCv, Two men fall off their bikes.,"['VrRBCv_sqp.jpg', 'VrRBCv_hyu.jpg', 'VrRBCv_poh.jpg', 'VrRBCv_ois.jpg']","[2, 4, 3, 1]"
5hHU5j,"The woman in white begins to slice a lemon, then the woman in pink cuts another lemon, after which they both prepare ingredients for a blender. Finally, they work together at the blender.","['5hHU5j_lma.jpg', '5hHU5j_och.jpg', '5hHU5j_plc.jpg', '5hHU5j_saz.jpg']","[4, 1, 2, 3]"
y4VqhU,"Next,a boy tries to jump over the bricks but ends up falling.","['y4VqhU_eoe.jpg', 'y4VqhU_rqd.jpg', 'y4VqhU_npt.jpg', 'y4VqhU_sgl.jpg']","[1, 3, 2, 4]"
38aVKs,  The person's hand begins to brush the doll's hair with a pink bristle brush before holding up a bottle of hair styling product.,"['38aVKs_bfm.jpg', '38aVKs_idt.jpg', '38aVKs_mgq.jpg', '38aVKs_yhs.jpg']","[4, 3, 1, 2]"
fYif7Q,"The skier begins by traversing with parallel turns, then moves into a parallel stop to halt, followed by short swings, and finally navigates a black mogul field.","['fYif7Q_ttx.jpg', 'fYif7Q_bla.jpg', 'fYif7Q_awk.jpg', 'fYif7Q_jsm.jpg']","[4, 2, 3, 1]"
DwgRBA, She vacuums all around the area while still talking to the camera and eventually transitioning to a close up of the vacuum.,"['DwgRBA_bjx.jpg', 'DwgRBA_bsf.jpg', 'DwgRBA_udn.jpg', 'DwgRBA_wti.jpg']","[2, 4, 3, 1]"
GqQAu8,"A girl walks onto a mat, bowing before the judges.","['GqQAu8_swf.jpg', 'GqQAu8_tjw.jpg', 'GqQAu8_ynr.jpg', 'GqQAu8_uqy.jpg']","[4, 2, 1, 3]"
Q9LnTO,"The slanted tool approaches the eye as the camera zooms in, followed by eyeliner application; the brush exits, and the camera slightly zooms on the finished eye makeup.","['Q9LnTO_ipc.jpg', 'Q9LnTO_kim.jpg', 'Q9LnTO_msr.jpg', 'Q9LnTO_nnw.jpg']","[4, 1, 2, 3]"
qDKDuQ, The man throws the ball down and hits several pins.,"['qDKDuQ_nes.jpg', 'qDKDuQ_niu.jpg', 'qDKDuQ_rjq.jpg', 'qDKDuQ_rbb.jpg']","[4, 2, 1, 3]"
U1UgMx, A boy jumped in a platform with his skateboard and slipped and fell.,"['U1UgMx_msb.jpg', 'U1UgMx_ngs.jpg', 'U1UgMx_qrw.jpg', 'U1UgMx_tog.jpg']","[4, 3, 1, 2]"
8HH8J7,"Divers surface near a rocky shore, transitioning to a message prompting video views, while a performer runs across the stage, lowering to the floor and extending her arm gracefully.","['8HH8J7_mtv.jpg', '8HH8J7_rgz.jpg', '8HH8J7_cne.jpg', '8HH8J7_kta.jpg']","[4, 3, 1, 2]"
EJ6ilh,"The instructor adjusts the student's grip on the rowing handle, then approaches to assist the squatting person by adding a resistance band around them.","['EJ6ilh_hdo.jpg', 'EJ6ilh_ihi.jpg', 'EJ6ilh_okw.jpg', 'EJ6ilh_qkd.jpg']","[4, 1, 2, 3]"
SabaJR,"The tattoo gun moves from right to left as the camera zooms out, followed by the roller painting the ceiling, with the camera tilting down to show the painter smoothing the surface.","['SabaJR_ltv.jpg', 'SabaJR_riu.jpg', 'SabaJR_qcu.jpg', 'SabaJR_bfa.jpg']","[4, 1, 3, 2]"
spBXRD,He then grabs a metal mask and positions himself correctly on the floor.,"['spBXRD_ptq.jpg', 'spBXRD_uso.jpg', 'spBXRD_xcl.jpg', 'spBXRD_uyt.jpg']","[3, 4, 2, 1]"
3XH2Vf,"The cheerleaders begin in a huddle, then move into formation, raising their arms in unison, and finally lower their arms as they prepare to exit the stage.","['3XH2Vf_deb.jpg', '3XH2Vf_ikz.jpg', '3XH2Vf_kht.jpg', '3XH2Vf_vxe.jpg']","[4, 3, 2, 1]"
qiq9d6, A skateboarder wearing a black helmet skates downhill and performs some skateboard tricks.,"['qiq9d6_bam.jpg', 'qiq9d6_iwz.jpg', 'qiq9d6_dit.jpg', 'qiq9d6_scq.jpg']","[3, 2, 4, 1]"
8nZSAf, The swimmers swim towards the middle of the pool in unison as the camera pans to reveal more swimmers approaching from the other direction.,"['8nZSAf_fsm.jpg', '8nZSAf_ler.jpg', '8nZSAf_wgm.jpg', '8nZSAf_zti.jpg']","[2, 1, 4, 3]"
GPrsNJ,A person kicks off a tubing participant to ride down the snow slide.,"['GPrsNJ_eol.jpg', 'GPrsNJ_qjt.jpg', 'GPrsNJ_rpb.jpg', 'GPrsNJ_sul.jpg']","[1, 4, 3, 2]"
AucppG,  In the final moments of the clip a ball flies across the table and the men react in a triumphant way throwing their arms in the air in celebration.,"['AucppG_kjh.jpg', 'AucppG_tao.jpg', 'AucppG_jlk.jpg', 'AucppG_wsa.jpg']","[4, 1, 3, 2]"
bY5QlC,"The person and dog move closer to the right across a grassy field as the camera pans left; the dog then runs right, carrying a pink frisbee, while another pink frisbee is visible in the air behind it.","['bY5QlC_hyo.jpg', 'bY5QlC_ikb.jpg', 'bY5QlC_ist.jpg', 'bY5QlC_ppk.jpg']","[4, 2, 1, 3]"
hK6reY,"The athlete vaults over the bar, landing on the mat as the camera zooms in on the pole, then exits the frame as the camera pans right to reveal a photographer adjusting their camera.","['hK6reY_nwm.jpg', 'hK6reY_obd.jpg', 'hK6reY_ajs.jpg', 'hK6reY_wni.jpg']","[2, 3, 4, 1]"
R3kouN,"The skater begins to push off with their foot, then glides smoothly across the pavement, shifting their weight as they prepare for a trick.","['R3kouN_eyj.jpg', 'R3kouN_qlf.jpg', 'R3kouN_pmb.jpg', 'R3kouN_fjz.jpg']","[2, 1, 4, 3]"
CWnWy2,The orange cloth wipes the surface as the brush exits right; the bowl exits left as the chef's hand returns to the cutting board.,"['CWnWy2_pta.jpg', 'CWnWy2_hhf.jpg', 'CWnWy2_xru.jpg', 'CWnWy2_bey.jpg']","[4, 1, 3, 2]"
1DNfGu, The lady throws her hair back and picks up the phone.,"['1DNfGu_uak.jpg', '1DNfGu_vdj.jpg', '1DNfGu_pdf.jpg', '1DNfGu_yfe.jpg']","[3, 1, 2, 4]"
1IuLy3,"A bike tire is removed from the rim and a patch is prepared, then a hand tightens a bike component before the camera pans to a person riding through a bike store.","['1IuLy3_bfd.jpg', '1IuLy3_ohi.jpg', '1IuLy3_ooa.jpg', '1IuLy3_upa.jpg']","[4, 2, 1, 3]"
Jk5aoJ,"  The woman then takes the contact out of her eyes, then puts them back in on the fade out.","['Jk5aoJ_amq.jpg', 'Jk5aoJ_ghj.jpg', 'Jk5aoJ_hdl.jpg', 'Jk5aoJ_hfg.jpg']","[4, 3, 2, 1]"
B75C9S,  A bowling ball hits the camera.,"['B75C9S_vgz.jpg', 'B75C9S_dxq.jpg', 'B75C9S_ujx.jpg', 'B75C9S_nlu.jpg']","[2, 3, 1, 4]"
HFnGv6, The first woman returns with a new brush and allows children to help brush the horse.,"['HFnGv6_gkn.jpg', 'HFnGv6_gkx.jpg', 'HFnGv6_paq.jpg', 'HFnGv6_sdc.jpg']","[1, 3, 2, 4]"
36AvXz,"A swimmer dives into the pool and swims forward across the lane, while a diver on a platform prepares to jump, moving upward as the camera remains stationary.","['36AvXz_cem.jpg', '36AvXz_ktr.jpg', '36AvXz_taq.jpg', '36AvXz_yok.jpg']","[1, 2, 3, 4]"
9uUS48, one runs off the stage ring and falls.,"['9uUS48_pdn.jpg', '9uUS48_uxi.jpg', '9uUS48_zhn.jpg', '9uUS48_zns.jpg']","[4, 1, 3, 2]"
piVbat, oreos are in a bowl and the cooker is crushing them and melted butter and mixing and put it in a pan.,"['piVbat_lxe.jpg', 'piVbat_maa.jpg', 'piVbat_jnl.jpg', 'piVbat_xhq.jpg']","[1, 2, 3, 4]"
k5FCHD,"A person begins to scrape snow off the car's windshield, then moves to clear more snow from the side, and finally raises the scraper to show the progress.","['k5FCHD_rny.jpg', 'k5FCHD_lai.jpg', 'k5FCHD_enf.jpg', 'k5FCHD_csz.jpg']","[3, 1, 2, 4]"
FwGwcd,He finally hits the black ball in and ends the game.,"['FwGwcd_ihs.jpg', 'FwGwcd_cck.jpg', 'FwGwcd_yex.jpg', 'FwGwcd_ozx.jpg']","[1, 3, 2, 4]"
XKAhmA,  He then slides on the grips onto the handles of the bike.,"['XKAhmA_zsg.jpg', 'XKAhmA_qwj.jpg', 'XKAhmA_ktp.jpg', 'XKAhmA_cng.jpg']","[2, 3, 1, 4]"
8Ow8Du, the lady rinses the soap off her face.,"['8Ow8Du_aqd.jpg', '8Ow8Du_ivc.jpg', '8Ow8Du_xvm.jpg', '8Ow8Du_zeg.jpg']","[4, 3, 1, 2]"
RAWy8h, She jumps on the balance beam and balances herself.,"['RAWy8h_jpy.jpg', 'RAWy8h_ozz.jpg', 'RAWy8h_rck.jpg', 'RAWy8h_wdm.jpg']","[3, 1, 2, 4]"
q5MKQ1,"The dancers move closer and embrace, shifting slightly to the right as the camera zooms in, then a dancer twirls gracefully from facing forward to spinning counter-clockwise, with her costume flowing outward.","['q5MKQ1_abe.jpg', 'q5MKQ1_crf.jpg', 'q5MKQ1_dwv.jpg', 'q5MKQ1_snf.jpg']","[1, 2, 3, 4]"
9W1Kt9, A man in a blue shirt throws a disc onto the field.,"['9W1Kt9_wto.jpg', '9W1Kt9_fcd.jpg', '9W1Kt9_kta.jpg', '9W1Kt9_uth.jpg']","[3, 4, 2, 1]"
